"Player","Pos","Season","Team","GP","TOI","ATOI","G","A","Pts","SOG","BLK","HIT","PPP","SHP","W","SV","GA","FPV","FPV Adj","Pos Rank"
"Nathan Bastian","F","21-22","SEA",55,688,12.5,5,5,10,62,36,191,1,1,0,0,0,68,-39,339
"David Farrance","D","21-22","NSH",36,561,15.6,1,5,6,52,36,35,4,0,0,0,0,37,-39,202
"Cal Foote","D","21-22","T.B",47,684,14.4,2,5,7,48,32,54,0,0,0,0,0,37,-39,203
"Braden Holtby","G","21-22","DAL",0,0,0,0,0,0,0,0,0,0,0,14,806,119,113,-40,60
"Austin Watson","F","21-22","OTT",49,557,11.4,5,7,11,45,56,147,0,2,0,0,0,67,-40,340
"Mattias Samuelsson","D","21-22","BUF",37,599,16.2,2,5,7,31,42,54,0,0,0,0,0,37,-40,205
"Nick Holden","D","21-22","OTT",38,585,15.4,1,4,5,49,41,74,0,0,0,0,0,36,-40,206
"Jacob MacDonald","D","21-22","COL",46,694,15.1,1,7,7,64,36,33,0,0,0,0,0,37,-40,204
"Pekka Rinne","G","21-22","-",0,0,0,0,0,0,0,0,0,0,0,11,547,54,111,-41,61
"Jake Evans","F","21-22","MTL",60,715,12,5,8,12,70,36,109,1,2,0,0,0,66,-41,341
"Brad Hunt","D","21-22","VAN",32,444,13.9,3,5,8,44,19,0,3,0,0,0,0,35,-41,208
"Derek Stepan","F","21-22","CAR",66,918,14,4,6,10,114,42,47,6,1,0,0,0,66,-41,342
"Zac Jones","D","21-22","NYR",40,595,14.9,2,5,7,45,33,33,1,0,0,0,0,35,-41,207
"Michael Bunting","F","21-22","TOR",38,528,13.7,8,8,16,61,3,30,4,0,0,0,0,66,-42,343
"Alex Volkov","F","21-22","ANA",49,570,11.6,7,9,16,45,32,45,0,0,0,0,0,65,-42,345
"Bobby Ryan","F","21-22","-",57,731,12.9,5,10,15,82,19,32,7,0,0,0,0,65,-42,344
"Simon Benoit","D","21-22","-",36,595,16.5,2,5,6,27,39,64,0,0,0,0,0,35,-42,209
"Alex Carrier","D","21-22","NSH",39,671,17.2,1,5,6,41,54,35,0,0,0,0,0,35,-42,210
"Erik Johnson","D","21-22","COL",37,580,15.7,0,6,6,42,50,43,0,0,0,0,0,34,-42,212
"Logan Stanley","D","21-22","WPG",47,671,14.2,0,3,4,77,31,76,0,0,0,0,0,34,-42,211
"Matiss Kivlenieks","G","21-22","-",0,0,0,0,0,0,0,0,0,0,0,10,579,58,110,-43,62
"Logan Thompson","G","21-22","VGK",0,0,0,0,0,0,0,0,0,0,0,9,505,35,109,-43,63
"Paul Byron","F","21-22","MTL",46,578,12.6,6,8,14,34,27,128,0,2,0,0,0,64,-43,348
"Urho Vaakanainen","D","21-22","BOS",38,660,17.4,2,5,7,25,41,25,0,0,0,0,0,34,-43,216
"Andrej Sekera","D","21-22","DAL",39,595,15.3,2,3,4,30,62,45,0,0,0,0,0,34,-43,215
"Mikhail Maltsev","F","21-22","COL",52,630,12.1,7,8,15,93,8,35,0,0,0,0,0,64,-43,346
"Kevin Bahl","D","21-22","N.J",38,616,16.2,2,5,7,21,39,50,0,0,0,0,0,34,-43,214
"Wayne Simmonds","F","21-22","TOR",50,561,11.1,5,6,12,88,14,102,4,0,0,0,0,64,-43,347
"Gustav Lindstrom","D","21-22","DET",40,649,16.2,2,5,7,26,43,38,1,0,0,0,0,34,-43,213
"Kevan Miller","D","21-22","-",38,640,16.8,0,2,2,25,66,110,0,0,0,0,0,33,-43,217
"Derek Ryan","F","21-22","EDM",67,804,12,5,12,18,63,27,8,0,1,0,0,0,63,-44,350
"John Leonard","F","21-22","S.J",53,647,12.1,6,9,15,85,17,29,1,0,0,0,0,63,-44,351
"Conor Timmins","D","21-22","ARI",46,691,15,1,7,8,48,23,20,0,0,0,0,0,32,-44,219
"Jason Demers","D","21-22","-",50,820,16.3,0,4,4,50,43,90,0,0,0,0,0,33,-44,218
"Matt Martin","F","21-22","NYI",61,639,10.5,3,5,9,64,23,250,0,0,0,0,0,64,-44,349
"Rasmus Asplund","F","21-22","BUF",44,566,12.7,8,8,17,45,12,23,0,1,0,0,0,62,-45,352
"Ville Heinola","D","21-22","WPG",38,636,16.7,2,5,6,47,32,8,1,0,0,0,0,32,-45,220
"Nikita Nesterov","D","21-22","-",43,667,15.5,1,4,5,37,39,69,0,0,0,0,0,31,-45,221
"Jan Rutta","D","21-22","T.B",44,691,15.6,0,5,5,49,41,35,0,2,0,0,0,30,-46,224
"Tanner Jeannot","F","21-22","NSH",38,468,12.2,7,7,14,41,13,84,0,1,0,0,0,61,-46,355
"David Kampf","F","21-22","TOR",79,1100,13.9,5,8,13,84,31,58,0,1,0,0,0,61,-46,354
"Evan Rodrigues","F","21-22","PIT",52,695,13.4,7,9,16,77,14,9,2,0,0,0,0,62,-46,353
"Alec Regula","D","21-22","CHI",29,427,14.7,2,5,7,30,26,36,1,0,0,0,0,30,-46,222
"Jon Merrill","D","21-22","MIN",38,610,15.9,0,3,3,34,70,40,0,0,0,0,0,30,-46,223
"Timothy Liljegren","D","21-22","TOR",33,520,15.7,2,4,6,24,36,23,0,1,0,0,0,30,-47,226
"Cedric Paquette","F","21-22","MTL",53,539,10.1,5,4,9,32,35,186,0,0,0,0,0,60,-47,356
"Egor Zamula","D","21-22","-",35,578,16.5,2,5,6,30,33,22,0,0,0,0,0,29,-47,227
"Michael Stone","D","21-22","-",37,566,15.3,1,3,4,52,42,26,0,0,0,0,0,29,-47,228
"Juuso Riikola","D","21-22","PIT",14,193,13.8,0,5,5,41,19,39,4,0,0,0,0,30,-47,225
"Alex Formenton","F","21-22","OTT",44,534,12.1,7,8,15,37,20,34,0,2,0,0,0,60,-48,357
"David Rittich","G","21-22","NSH",0,0,0,0,0,0,0,0,0,0,0,10,689,85,104,-48,64
"Cal Clutterbuck","F","21-22","NYI",55,656,11.9,3,5,8,46,37,219,0,2,0,0,0,59,-48,359
"Michael Raffl","F","21-22","DAL",64,805,12.6,5,6,11,59,39,95,0,1,0,0,0,59,-48,360
"Ty Dellandrea","F","21-22","DAL",40,501,12.5,5,7,12,56,17,77,4,0,0,0,0,60,-48,358
"Joel Kiviranta","F","21-22","DAL",52,650,12.5,6,9,15,49,16,62,1,0,0,0,0,59,-48,361
"Kale Clague","D","21-22","L.A",35,544,15.5,0,6,7,37,34,11,1,0,0,0,0,29,-48,229
"Jordie Benn","D","21-22","MIN",38,577,15,0,5,5,42,47,19,0,0,0,0,0,29,-48,230
"Brandon Sutter","F","21-22","VAN",63,878,14,7,6,12,61,38,15,0,1,0,0,0,58,-49,363
"Blake Comeau","F","21-22","DAL",57,735,13,4,6,10,70,19,137,0,2,0,0,0,58,-49,366
"Mikhail Grigorenko","F","21-22","-",46,603,13.1,6,11,17,40,23,2,1,0,0,0,0,59,-49,362
"Jesper Boqvist","F","21-22","N.J",46,564,12.3,7,8,15,54,11,31,1,0,0,0,0,58,-49,365
"Josh Leivo","F","21-22","CAR",44,495,11.1,8,7,14,71,0,29,0,0,0,0,0,58,-49,367
"Tyler Ennis","F","21-22","-",50,604,12,6,8,14,72,9,57,1,0,0,0,0,58,-49,364
"Olli Juolevi","D","21-22","VAN",36,513,14.3,1,4,5,28,44,39,0,0,0,0,0,28,-49,231
"Luke Schenn","D","21-22","VAN",33,415,12.6,1,2,3,43,23,97,0,0,0,0,0,27,-49,233
"Robert Bortuzzo","D","21-22","STL",38,536,13.9,0,2,2,24,49,106,0,0,0,0,0,28,-49,232
"Zach Bogosian","D","21-22","T.B",40,572,14.3,0,4,4,31,42,60,0,0,0,0,0,27,-49,234
"Colton Sceviour","F","21-22","-",50,552,10.9,5,5,10,68,44,88,0,1,0,0,0,57,-50,369
"Andrew Cogliano","F","21-22","S.J",76,893,11.7,3,7,11,95,27,91,0,1,0,0,0,58,-50,368
"Kurtis MacDermid","D","21-22","COL",30,417,13.9,1,2,3,21,50,70,0,0,0,0,0,27,-50,235
"Jack Ahcan","D","21-22","BOS",32,594,18.6,0,3,4,37,45,7,4,0,0,0,0,27,-50,237
"Ben Harpur","D","21-22","NSH",38,615,16,0,3,3,29,47,62,0,0,0,0,0,27,-50,236
"Lucas Wallmark","F","21-22","-",40,477,11.9,5,8,14,46,16,49,1,1,0,0,0,56,-51,370
"Andrew Shaw","F","21-22","CHI",37,505,13.6,3,7,10,57,12,54,11,1,0,0,0,56,-51,371
"Jack Johnson","D","21-22","COL",46,738,16.1,0,1,1,14,49,101,0,1,0,0,0,26,-51,240
"Jacob Bernard-Docker","D","21-22","OTT",37,549,14.8,1,4,5,19,29,39,0,0,0,0,0,25,-51,241
"Nathan Beaulieu","D","21-22","WPG",28,460,16.4,1,2,2,25,51,52,0,0,0,0,0,25,-51,242
"Dean Kukan","D","21-22","CBJ",33,480,14.6,0,3,4,35,47,40,0,0,0,0,0,26,-51,238
"Jake Walman","D","21-22","STL",41,584,14.3,0,3,3,54,39,35,0,0,0,0,0,26,-51,239
"Sam Gagner","F","21-22","DET",44,590,13.3,6,5,12,94,17,0,3,0,0,0,0,55,-52,373
"Cole Caufield","F","21-22","MTL",43,551,12.8,7,6,13,57,10,33,2,0,0,0,0,55,-52,372
"Niklas Hjalmarsson","D","21-22","-",40,653,16.3,0,2,2,19,76,8,0,1,0,0,0,24,-52,245
"Niko Mikkola","D","21-22","STL",34,482,14.2,0,3,3,17,48,62,0,1,0,0,0,25,-52,243
"Connor MacKey","D","21-22","CGY",25,357,14.3,1,4,5,29,31,24,0,0,0,0,0,24,-52,246
"Matt Irwin","D","21-22","WSH",23,332,14.4,0,2,2,32,47,60,0,0,0,0,0,25,-52,244
"Noah Gregor","F","21-22","S.J",46,526,11.4,5,4,10,82,20,75,1,0,0,0,0,54,-53,374
"Jarred Tinordi","D","21-22","NYR",25,401,16,0,2,2,27,41,64,0,1,0,0,0,24,-53,248
"Kyle Capobianco","D","21-22","ARI",26,375,14.4,0,3,3,38,30,7,5,0,0,0,0,23,-53,250
"Madison Bowey","D","21-22","VAN",25,360,14.4,1,4,5,24,31,35,0,0,0,0,0,24,-53,247
"Andrew Peeke","D","21-22","CBJ",33,487,14.8,0,2,3,13,37,76,0,0,0,0,0,23,-53,249
"Wade Allison","F","21-22","PHI",39,495,12.7,6,7,13,42,14,48,2,0,0,0,0,53,-54,375
"Braydon Coburn","D","21-22","-",27,408,15.1,0,3,3,23,37,50,0,1,0,0,0,23,-54,252
"Scott Harrington","D","21-22","CBJ",27,405,15,0,3,3,19,46,22,0,0,0,0,0,22,-54,254
"Josh Mahura","D","21-22","ANA",33,496,15,1,3,5,27,31,15,0,0,0,0,0,23,-54,251
"Joel Hanley","D","21-22","DAL",36,511,14.2,0,4,4,24,32,29,0,0,0,0,0,22,-54,255
"Anthony Bitetto","D","21-22","NYR",29,419,14.5,0,3,3,20,36,67,0,0,0,0,0,22,-54,253
"Pierre-Edouard Bellemare","F","21-22","T.B",58,634,10.9,6,4,10,63,38,23,0,2,0,0,0,53,-55,376
"Mark Jankowski","F","21-22","-",49,581,11.9,5,8,13,29,35,32,0,1,0,0,0,53,-55,377
"Kyle Okposo","F","21-22","BUF",44,574,12.9,4,8,12,62,19,44,0,2,0,0,0,52,-55,378
"John Moore","D","21-22","BOS",28,497,17.7,0,2,2,22,47,21,1,1,0,0,0,21,-55,257
"Nicolas Deslauriers","F","21-22","ANA",55,569,10.3,4,3,7,59,19,175,0,0,0,0,0,52,-55,379
"Trevor Van Riemsdyk","D","21-22","WSH",29,419,14.5,0,3,4,32,41,0,0,0,0,0,0,21,-55,258
"William Borgen","D","21-22","SEA",28,432,15.4,0,2,2,24,39,69,0,0,0,0,0,22,-55,256
"James Neal","F","21-22","-",44,521,11.8,5,5,10,72,5,34,5,0,0,0,0,51,-56,380
"Mark Friedman","D","21-22","PIT",25,338,13.5,1,2,4,24,22,24,0,0,0,0,0,20,-56,263
"Gabriel Carlsson","D","21-22","CBJ",32,486,15.2,1,4,5,20,34,7,0,0,0,0,0,21,-56,259
"Slater Koekkoek","D","21-22","EDM",26,377,14.5,0,3,3,27,41,15,0,0,0,0,0,21,-56,260
"Colton White","D","21-22","N.J",20,283,14.1,0,4,4,20,28,24,0,0,0,0,0,20,-56,261
"Thomas Hickey","D","21-22","NYI",28,467,16.7,0,4,4,19,38,22,0,0,0,0,0,20,-56,262
"Eetu Luostarinen","F","21-22","FLA",52,684,13.2,4,6,10,42,37,66,0,1,0,0,0,51,-57,381
"Devin Shore","F","21-22","EDM",38,437,11.4,5,5,10,24,33,94,0,1,0,0,0,50,-57,382
"Jujhar Khaira","F","21-22","CHI",50,606,12,4,3,7,35,28,173,0,1,0,0,0,50,-57,383
"Patrick Marleau","F","21-22","-",58,720,12.4,4,8,12,65,21,36,1,0,0,0,0,50,-57,384
"Oliver Kylington","D","21-22","CGY",30,416,13.9,1,2,3,27,22,27,0,0,0,0,0,20,-57,264
"Dennis Gilbert","D","21-22","COL",18,228,12.7,0,4,4,24,25,26,0,0,0,0,0,20,-57,265
"Jeremy Davies","D","21-22","NSH",37,546,14.8,0,3,3,33,29,22,0,0,0,0,0,20,-57,266
"Connor Carrick","D","21-22","SEA",21,323,15.4,0,3,3,22,38,22,0,0,0,0,0,19,-57,267
"Lias Andersson","F","21-22","L.A",43,515,12,6,6,12,40,17,31,0,0,0,0,0,49,-58,385
"Morgan Geekie","F","21-22","SEA",41,480,11.6,5,7,12,50,7,35,3,0,0,0,0,49,-58,386
"Carl Gunnarsson","D","21-22","-",22,312,14.2,0,3,3,14,40,18,0,1,0,0,0,18,-58,270
"Brady Keeper","D","21-22","VAN",18,253,14,0,3,3,31,11,21,3,0,0,0,0,18,-58,269
"Noah Juulsen","D","21-22","FLA",23,322,14,1,2,2,21,27,46,0,0,0,0,0,19,-58,268
"Drake Caggiula","F","21-22","BUF",43,488,11.4,5,4,9,54,10,87,0,1,0,0,0,48,-59,388
"Zack Kassian","F","21-22","EDM",42,467,11.1,4,5,9,39,3,151,0,0,0,0,0,48,-59,387
"Sami Niku","D","21-22","WPG",21,297,14.1,0,2,3,25,26,25,0,0,0,0,0,18,-59,273
"Tarmo Reunanen","D","21-22","NYR",26,375,14.4,0,3,3,21,26,21,0,0,0,0,0,18,-59,277
"Austin Strand","D","21-22","L.A",31,431,13.9,0,2,3,19,32,25,0,0,0,0,0,17,-59,280
"Chad Ruhwedel","D","21-22","PIT",29,416,14.3,0,1,1,27,33,50,0,0,0,0,0,18,-59,271
"Alex Biega","D","21-22","TOR",21,279,13.3,0,2,2,20,24,47,0,0,0,0,0,17,-59,278
"Xavier Ouellet","D","21-22","MTL",22,304,13.8,0,3,3,18,30,25,0,0,0,0,0,18,-59,274
"Christian Jaros","D","21-22","N.J",22,292,13.3,0,3,3,17,27,38,0,0,0,0,0,18,-59,276
"Mikko Lehtonen2","D","21-22","-",30,443,14.8,0,3,3,27,30,22,0,0,0,0,0,18,-59,272
"Joakim Ryan","D","21-22","-",23,331,14.4,0,3,3,22,31,19,0,0,0,0,0,17,-59,281
"Matt Tennyson","D","21-22","NSH",25,344,13.8,0,3,3,18,37,25,0,0,0,0,0,18,-59,275
"Steven Kampfer","D","21-22","-",26,386,14.9,0,1,1,32,42,16,0,0,0,0,0,17,-59,279
"Riley Sheahan","F","21-22","SEA",69,883,12.9,6,5,11,44,28,5,0,2,0,0,0,48,-60,390
"Valtteri Filppula","F","21-22","-",53,735,13.7,5,9,13,28,25,1,2,0,0,0,0,48,-60,389
"Barrett Hayton","F","21-22","ARI",39,438,11.2,4,6,9,63,5,39,6,0,0,0,0,47,-60,391
"Brinson Pasichnuk","D","21-22","S.J",22,303,13.8,0,3,3,21,22,22,0,0,0,0,0,16,-60,284
"Jacob Middleton","D","21-22","S.J",20,282,14.1,0,3,3,19,20,23,0,0,0,0,0,16,-60,282
"Andy Welinski","D","21-22","CGY",23,343,14.9,0,3,3,26,22,14,0,0,0,0,0,16,-60,283
"Nate Prosser","D","21-22","-",19,265,13.9,0,3,3,14,27,25,0,0,0,0,0,16,-60,285
"Ben Thomas","D","21-22","-",27,399,14.8,0,2,2,26,31,19,0,0,0,0,0,16,-60,286
"Arttu Ruotsalainen","F","21-22","BUF",36,449,12.5,6,5,11,51,9,23,1,0,0,0,0,46,-61,392
"Alex Barre-Boulet","F","21-22","T.B",42,535,12.7,3,6,9,63,16,21,6,0,0,0,0,46,-61,394
"Kyle Clifford","F","21-22","STL",61,618,10.1,4,3,7,73,14,106,0,0,0,0,0,46,-61,393
"Tyler Lewington","D","21-22","BOS",17,242,14.3,1,3,3,12,26,17,0,0,0,0,0,16,-61,287
"Otto Leskinen","D","21-22","MTL",29,573,19.7,0,2,2,20,27,12,0,0,0,0,0,15,-61,292
"Olle Alsing","D","21-22","OTT",19,266,14,0,3,3,19,21,19,0,0,0,0,0,16,-61,290
"Nicolas Meloche","D","21-22","S.J",28,389,13.9,0,2,2,23,24,25,0,0,0,0,0,16,-61,288
"William Lagesson","D","21-22","EDM",25,355,14.2,0,2,2,22,36,11,0,0,0,0,0,16,-61,289
"Yannick Weber","D","21-22","-",19,252,13.3,0,2,2,21,26,20,0,0,0,0,0,15,-61,293
"Frederic Allard","D","21-22","NSH",31,590,19,0,2,2,23,29,15,0,0,0,0,0,15,-61,291
"Matt Nieto","F","21-22","S.J",44,551,12.5,4,6,10,52,22,19,0,1,0,0,0,45,-62,395
"Mark Alt","D","21-22","-",18,260,14.5,0,3,3,19,25,12,0,0,0,0,0,15,-62,294
"Jalen Chatfield","D","21-22","CAR",22,300,13.7,0,2,2,17,23,21,0,0,0,0,0,14,-62,297
"Keaton Middleton","D","21-22","COL",24,330,13.8,0,2,2,26,20,22,0,0,0,0,0,14,-62,296
"Luca Sbisa","D","21-22","-",23,357,15.5,0,1,1,21,31,25,0,0,0,0,0,14,-62,295
"Filip Gustavsson","G","21-22","OTT",0,0,0,0,0,0,0,0,0,0,0,6,565,53,90,-63,65
"Matt Bartkowski","D","21-22","-",22,351,16,0,2,2,14,24,14,0,0,0,0,0,13,-63,302
"Sebastian Aho2","D","21-22","NYI",29,430,14.8,0,2,2,22,22,0,0,0,0,0,0,13,-63,301
"Dan Renouf","D","21-22","DET",18,239,13.3,0,3,3,16,12,27,0,0,0,0,0,13,-63,300
"Kevin Connauton","D","21-22","FLA",19,268,14.1,0,2,2,12,22,28,0,0,0,0,0,13,-63,303
"Dakota Mermis","D","21-22","MIN",24,370,15.4,0,2,2,16,25,15,0,0,0,0,0,14,-63,298
"Aaron Ness","D","21-22","-",23,353,15.3,0,2,2,17,20,16,0,0,0,0,0,13,-63,304
"Matt Kiersted","D","21-22","FLA",27,404,15,0,2,2,23,28,4,0,0,0,0,0,13,-63,299
"Matt Calvert","F","21-22","-",41,511,12.5,4,5,9,45,20,35,0,3,0,0,0,43,-64,397
"Ryan Carpenter","F","21-22","CHI",50,596,11.8,2,3,5,60,32,120,1,2,0,0,0,43,-64,398
"Shane Pinto","F","21-22","OTT",41,541,13.1,4,6,10,40,18,38,1,1,0,0,0,43,-64,396
"Fredrik Claesson","D","21-22","T.B",16,222,13.9,0,2,2,10,19,23,0,0,0,0,0,12,-64,313
"Louie Belpedio","D","21-22","MTL",22,370,16.8,0,2,2,13,20,18,0,0,0,0,0,13,-64,306
"Andreas Borgman","D","21-22","DAL",25,338,13.5,0,1,1,20,15,38,0,0,0,0,0,13,-64,305
"Kevin Czuczman","D","21-22","MIN",25,340,13.6,0,2,2,16,16,15,0,0,0,0,0,12,-64,312
"Kyle Burroughs","D","21-22","VAN",20,276,13.8,0,3,3,13,17,17,0,0,0,0,0,12,-64,309
"Brandon Davidson","D","21-22","BUF",22,317,14.4,0,2,2,16,27,9,0,0,0,0,0,12,-64,307
"Guillaume Brisebois","D","21-22","VAN",28,455,16.2,0,2,2,22,22,10,0,0,0,0,0,12,-64,310
"Steven Santini","D","21-22","STL",26,387,14.9,0,1,1,20,25,27,0,0,0,0,0,12,-64,311
"Greg Pateryn","D","21-22","ANA",28,385,13.8,0,0,0,18,36,19,0,0,0,0,0,12,-64,308
"Keith Kinkaid","G","21-22","NYR",0,0,0,0,0,0,0,0,0,0,0,6,526,47,87,-65,66
"Tobias Rieder","F","21-22","-",50,577,11.4,3,3,7,70,42,19,0,2,0,0,0,43,-65,399
"Logan O'Connor","F","21-22","COL",39,401,10.3,4,6,9,52,17,44,0,1,0,0,0,42,-65,400
"Artem Anisimov","F","21-22","-",44,521,11.8,5,6,10,49,10,0,3,0,0,0,0,42,-65,401
"Brogan Rafferty","D","21-22","ANA",24,400,16.7,0,2,2,11,19,4,0,0,0,0,0,11,-65,315
"Christian Wolanin","D","21-22","L.A",26,371,14.3,0,1,1,29,19,0,1,0,0,0,0,11,-65,314
"Cody Eakin","F","21-22","BUF",50,651,12.9,4,5,9,33,23,49,0,1,0,0,0,41,-66,403
"Nicholas Merkley","F","21-22","S.J",43,504,11.7,4,7,10,50,4,37,0,0,0,0,0,41,-66,402
"Lucas Carlsson","D","21-22","FLA",24,340,14.2,0,1,1,20,20,11,0,0,0,0,0,11,-66,316
"Darren Helm","F","21-22","COL",50,601,11.9,3,3,6,87,19,38,0,1,0,0,0,41,-67,404
"Joakim Nordstrom","F","21-22","-",49,530,10.8,1,3,4,50,42,120,0,1,0,0,0,41,-67,405
"Jordan Gross","D","21-22","COL",27,387,14.3,0,1,1,19,18,11,0,0,0,0,0,9,-67,317
"Gavin Bayreuther","D","21-22","CBJ",26,389,14.9,0,0,0,23,25,3,0,0,0,0,0,9,-67,318
"Ukko-Pekka Luukkonen","G","21-22","BUF",0,0,0,0,0,0,0,0,0,0,0,7,454,42,84,-68,67
"Jack Studnicka","F","21-22","BOS",39,486,12.5,3,7,10,46,18,10,1,1,0,0,0,39,-68,407
"Logan Brown","F","21-22","OTT",31,380,12.3,3,3,6,50,9,11,10,0,0,0,0,40,-68,406
"Devan Dubnyk","G","21-22","-",0,0,0,0,0,0,0,0,0,0,0,8,508,58,84,-69,68
"Frederick Gaudreau","F","21-22","MIN",47,591,12.4,3,7,10,32,18,17,0,1,0,0,0,39,-69,408
"Chris Wagner","F","21-22","BOS",52,556,10.7,2,0,2,63,29,155,0,2,0,0,0,39,-69,409
"Matthew Highmore","F","21-22","VAN",53,588,11,3,4,7,40,26,60,0,1,0,0,0,39,-69,411
"Taro Hirose","F","21-22","DET",21,246,11.7,2,4,6,51,12,21,9,0,0,0,0,39,-69,412
"Dryden Hunt","F","21-22","NYR",41,444,10.8,3,5,7,41,4,107,0,0,0,0,0,39,-69,410
"Collin Delia","G","21-22","CHI",0,0,0,0,0,0,0,0,0,0,0,6,489,47,83,-70,69
"Jonah Gadjovich","F","21-22","-",22,224,10.2,4,6,10,36,11,20,0,0,0,0,0,38,-70,413
"Mike Hardman","F","21-22","CHI",38,454,11.9,3,4,7,34,10,101,0,0,0,0,0,37,-70,414
"Julien Gauthier","F","21-22","NYR",47,482,10.2,3,4,7,52,5,80,0,0,0,0,0,37,-70,415
"Antti Raanta","G","21-22","CAR",0,0,0,0,0,0,0,0,0,0,0,10,602,90,81,-71,70
"Leo Komarov","F","21-22","NYI",44,517,11.7,0,5,6,32,18,145,0,1,0,0,0,36,-71,418
"Jayce Hawryluk","F","21-22","-",26,275,10.6,4,4,8,29,7,74,0,0,0,0,0,36,-71,417
"Joe Veleno","F","21-22","DET",41,572,14,3,4,7,46,17,40,3,0,0,0,0,37,-71,416
"Kieffer Bellows","F","21-22","NYI",34,362,10.7,3,5,8,38,6,55,1,0,0,0,0,36,-71,419
